,Year,Position,Team
603,2016,1,Mercedes
604,2016,2,Red Bull Racing
605,2016,3,Ferrari
606,2016,4,Force India Mercedes
607,2016,5,Williams Mercedes
608,2016,6,McLaren
609,2016,7,AlphaTauri Honda
610,2016,8,Haas Ferrari
611,2016,9,Renault
612,2016,10,Sauber Ferrari
613,2016,11,MRT Mercedes
614,2017,1,Mercedes
615,2017,2,Ferrari
616,2017,3,Red Bull Racing
617,2017,4,Force India Mercedes
618,2017,5,Williams Mercedes
619,2017,6,Renault
620,2017,7,AlphaTauri Honda
621,2017,8,Haas Ferrari
622,2017,9,McLaren
623,2017,10,Sauber Ferrari
624,2018,1,Mercedes
625,2018,2,Ferrari
626,2018,3,Red Bull Racing
627,2018,4,Renault
628,2018,5,Haas Ferrari
629,2018,6,McLaren
630,2018,7,Force India Mercedes
631,2018,8,Sauber Ferrari
632,2018,9,AlphaTauri Honda
633,2018,10,Williams Mercedes
634,2019,1,Mercedes
635,2019,2,Ferrari
636,2019,3,Red Bull Racing
637,2019,4,McLaren
638,2019,5,Renault
639,2019,6,AlphaTauri Honda
640,2019,7,Racing Point BWT Mercedes
641,2019,8,Alfa Romeo Racing Ferrari
642,2019,9,Haas Ferrari
643,2019,10,Williams Mercedes
644,2020,1,Mercedes
645,2020,2,Red Bull Racing
646,2020,3,McLaren
647,2020,4,Racing Point BWT Mercedes
648,2020,5,Renault
649,2020,6,Ferrari
650,2020,7,AlphaTauri Honda
651,2020,8,Alfa Romeo Racing Ferrari
652,2020,9,Haas Ferrari
653,2020,10,Williams Mercedes
